timestamp,ctr,ax_g,ay_g,az_g
2026-02-17T20:15:27.629,32663,0.005,0.002,1.018
2026-02-17T20:15:27.629,32664,0.005,0.000,1.019
2026-02-17T20:15:27.629,32665,0.003,0.001,1.019
2026-02-17T20:15:27.629,32666,0.005,0.001,1.018
2026-02-17T20:15:27.676,32667,0.007,0.001,1.019
2026-02-17T20:15:27.676,32668,0.005,0.003,1.018
2026-02-17T20:15:27.676,32669,0.004,0.002,1.019
2026-02-17T20:15:27.725,32671,0.004,0.001,1.020
2026-02-17T20:15:27.725,32672,0.005,0.005,1.020
2026-02-17T20:15:27.726,32673,0.005,0.002,1.021
2026-02-17T20:15:27.773,32675,0.005,0.001,1.019
2026-02-17T20:15:27.773,32676,0.006,0.001,1.020
2026-02-17T20:15:27.773,32677,0.006,0.000,1.020
2026-02-17T20:15:27.822,32679,0.004,0.003,1.019
2026-02-17T20:15:27.822,32680,0.005,0.002,1.020
2026-02-17T20:15:27.822,32681,0.006,0.001,1.018
2026-02-17T20:15:27.871,32683,0.005,0.004,1.018
2026-02-17T20:15:27.871,32684,0.002,0.001,1.017
2026-02-17T20:15:27.871,32685,0.006,0.003,1.020
2026-02-17T20:15:27.919,32687,0.004,0.002,1.020
2026-02-17T20:15:27.919,32688,0.004,0.001,1.018
2026-02-17T20:15:27.921,32689,0.005,0.003,1.018
2026-02-17T20:15:27.969,32691,0.003,0.001,1.019
2026-02-17T20:15:27.969,32692,0.005,0.000,1.019
2026-02-17T20:15:27.969,32693,0.002,0.000,1.017
2026-02-17T20:15:28.017,32695,0.005,0.002,1.020
2026-02-17T20:15:28.017,32696,0.005,0.002,1.019
2026-02-17T20:15:28.017,32697,0.007,0.002,1.018
2026-02-17T20:15:28.066,32699,0.006,0.000,1.020
2026-02-17T20:15:28.066,32700,0.004,0.002,1.020
2026-02-17T20:15:28.066,32701,0.005,0.002,1.020
2026-02-17T20:15:28.115,32703,0.006,0.003,1.019
2026-02-17T20:15:28.115,32704,0.004,0.003,1.022
2026-02-17T20:15:28.115,32705,0.005,0.003,1.022
2026-02-17T20:15:28.115,32707,0.005,0.001,1.019
2026-02-17T20:15:28.163,32708,0.003,0.002,1.021
2026-02-17T20:15:28.164,32709,0.004,0.003,1.017
2026-02-17T20:15:28.164,32710,0.003,0.002,1.021
2026-02-17T20:15:28.212,32712,0.005,0.003,1.020
2026-02-17T20:15:28.212,32713,0.006,0.001,1.019
2026-02-17T20:15:28.212,32714,0.006,0.003,1.019
2026-02-17T20:15:28.261,32716,0.004,0.004,1.020
2026-02-17T20:15:28.261,32717,0.006,0.002,1.019
2026-02-17T20:15:28.261,32718,0.006,0.000,1.017
