timestamp,ctr,ax_g,ay_g,az_g
2026-02-17T20:17:10.637,-24041,0.870,-0.491,-0.203
2026-02-17T20:17:10.638,-24040,0.868,-0.494,-0.193
2026-02-17T20:17:10.639,-24039,0.857,-0.494,-0.200
2026-02-17T20:17:10.684,-24037,0.834,-0.484,-0.239
2026-02-17T20:17:10.684,-24036,0.834,-0.481,-0.238
2026-02-17T20:17:10.684,-24035,0.849,-0.482,-0.225
2026-02-17T20:17:10.733,-24033,0.858,-0.482,-0.212
2026-02-17T20:17:10.733,-24032,0.864,-0.478,-0.207
2026-02-17T20:17:10.733,-24031,0.874,-0.475,-0.218
2026-02-17T20:17:10.782,-24029,0.875,-0.480,-0.220
2026-02-17T20:17:10.782,-24028,0.864,-0.490,-0.214
2026-02-17T20:17:10.782,-24027,0.853,-0.493,-0.218
2026-02-17T20:17:10.831,-24025,0.833,-0.495,-0.228
2026-02-17T20:17:10.831,-24024,0.829,-0.497,-0.227
2026-02-17T20:17:10.831,-24023,0.828,-0.496,-0.223
2026-02-17T20:17:10.880,-24021,0.848,-0.496,-0.207
2026-02-17T20:17:10.880,-24020,0.860,-0.494,-0.200
2026-02-17T20:17:10.880,-24019,0.866,-0.491,-0.202
2026-02-17T20:17:10.928,-24017,0.875,-0.489,-0.221
2026-02-17T20:17:10.928,-24016,0.874,-0.494,-0.219
2026-02-17T20:17:10.928,-24015,0.869,-0.498,-0.215
2026-02-17T20:17:10.930,-24013,0.857,-0.504,-0.203
2026-02-17T20:17:10.977,-24012,0.861,-0.502,-0.205
2026-02-17T20:17:10.977,-24011,0.855,-0.497,-0.208
2026-02-17T20:17:10.977,-24010,0.854,-0.492,-0.213
2026-02-17T20:17:11.026,-24008,0.865,-0.486,-0.214
2026-02-17T20:17:11.026,-24007,0.868,-0.491,-0.220
2026-02-17T20:17:11.026,-24006,0.858,-0.492,-0.221
2026-02-17T20:17:11.027,-24005,0.850,-0.486,-0.216
2026-02-17T20:17:11.074,-24004,0.857,-0.482,-0.212
2026-02-17T20:17:11.074,-24003,0.860,-0.479,-0.214
2026-02-17T20:17:11.074,-24002,0.857,-0.488,-0.214
2026-02-17T20:17:11.123,-24000,0.868,-0.494,-0.213
2026-02-17T20:17:11.124,-23999,0.873,-0.482,-0.215
2026-02-17T20:17:11.125,-23998,0.867,-0.480,-0.206
2026-02-17T20:17:11.172,-23996,0.856,-0.495,-0.191
2026-02-17T20:17:11.172,-23995,0.844,-0.506,-0.178
2026-02-17T20:17:11.221,-23994,0.834,-0.515,-0.168
2026-02-17T20:17:11.222,-23992,0.815,-0.518,-0.173
2026-02-17T20:17:11.222,-23991,0.807,-0.518,-0.181
2026-02-17T20:17:11.224,-23990,0.803,-0.529,-0.177
2026-02-17T20:17:11.269,-23988,0.814,-0.567,-0.156
2026-02-17T20:17:11.269,-23987,0.831,-0.576,-0.158
2026-02-17T20:17:11.270,-23986,0.844,-0.580,-0.150
2026-02-17T20:17:11.318,-23984,0.874,-0.571,-0.178
2026-02-17T20:17:11.319,-23983,0.892,-0.550,-0.210
2026-02-17T20:17:11.320,-23982,0.895,-0.547,-0.222
2026-02-17T20:17:11.367,-23979,0.863,-0.569,-0.225
2026-02-17T20:17:11.367,-23978,0.847,-0.583,-0.227
2026-02-17T20:17:11.367,-23977,0.832,-0.625,-0.232
2026-02-17T20:17:11.416,-23975,0.803,-0.854,-0.246
2026-02-17T20:17:11.416,-23974,0.779,-1.083,-0.197
2026-02-17T20:17:11.416,-23973,0.717,-1.304,-0.112
2026-02-17T20:17:11.464,-23971,0.498,-1.735,-0.072
2026-02-17T20:17:11.464,-23970,0.338,-1.872,-0.188
2026-02-17T20:17:11.464,-23969,0.013,-1.973,-0.320
2026-02-17T20:17:11.513,-23967,-0.151,-2.262,-0.580
2026-02-17T20:17:11.513,-23966,-0.256,-2.378,-0.649
2026-02-17T20:17:11.513,-23965,-0.376,-2.495,-0.673
2026-02-17T20:17:11.562,-23963,-0.660,-2.414,-0.815
2026-02-17T20:17:11.562,-23962,-0.818,-2.196,-0.912
2026-02-17T20:17:11.611,-23961,-0.898,-1.920,-0.886
2026-02-17T20:17:11.611,-23959,-0.794,-1.295,-0.233
2026-02-17T20:17:11.611,-23958,-0.678,-0.786,0.313
2026-02-17T20:17:11.611,-23957,-0.621,-0.214,0.988
2026-02-17T20:17:11.659,-23955,-0.794,1.240,2.562
2026-02-17T20:17:11.659,-23954,-0.462,2.164,3.604
2026-02-17T20:17:11.659,-23953,-0.001,2.122,3.914
2026-02-17T20:17:11.708,-23951,1.676,1.685,3.611
2026-02-17T20:17:11.709,-23950,2.041,1.509,2.773
2026-02-17T20:17:11.709,-23949,2.186,1.417,1.941
2026-02-17T20:17:11.757,-23946,1.327,0.854,1.079
2026-02-17T20:17:11.758,-23945,0.922,0.728,1.031
2026-02-17T20:17:11.758,-23944,0.541,0.633,0.936
2026-02-17T20:17:11.807,-23942,0.183,0.493,0.891
2026-02-17T20:17:11.807,-23941,0.121,0.486,0.984
2026-02-17T20:17:11.807,-23940,0.136,0.528,1.126
2026-02-17T20:17:11.854,-23938,-0.005,0.708,1.361
2026-02-17T20:17:11.854,-23937,-0.112,0.836,1.424
2026-02-17T20:17:11.854,-23936,-0.207,0.887,1.392
2026-02-17T20:17:11.903,-23934,-0.047,0.769,1.349
2026-02-17T20:17:11.903,-23933,0.073,0.435,1.245
2026-02-17T20:17:11.903,-23932,0.027,0.251,1.233
2026-02-17T20:17:11.952,-23930,-0.235,0.073,1.015
2026-02-17T20:17:11.952,-23929,-0.134,0.011,0.857
2026-02-17T20:17:11.952,-23928,0.105,-0.295,0.655
2026-02-17T20:17:12.001,-23926,0.511,-0.898,0.358
2026-02-17T20:17:12.001,-23925,0.590,-1.138,0.216
2026-02-17T20:17:12.001,-23924,0.566,-1.343,0.130
2026-02-17T20:17:12.049,-23922,0.479,-1.924,-0.358
2026-02-17T20:17:12.049,-23921,0.254,-2.331,-0.595
2026-02-17T20:17:12.049,-23920,-0.059,-2.681,-0.795
2026-02-17T20:17:12.098,-23918,-0.788,-2.517,-0.722
2026-02-17T20:17:12.098,-23917,-0.924,-2.021,-0.619
2026-02-17T20:17:12.098,-23916,-0.833,-1.708,-0.613
2026-02-17T20:17:12.147,-23914,0.218,-1.187,-0.503
2026-02-17T20:17:12.147,-23913,0.806,-1.019,-0.268
